Código,Nome do Exercício,grupo_muscular,musculo_foco,url
100,Abdominal Amplitude Máxima,Abdome,Reto Abdominal,https://rcstorestaff.com.br/exercicios_html/100
101,Abdominal Canivete,Abdome,Reto Abdominal,https://rcstorestaff.com.br/exercicios_html/101
102,Abdominal Infra,Abdome,Infra-abdome,https://rcstorestaff.com.br/exercicios_html/102
103,Abdominal Oblíquo Amplitude Máxima,Abdome,Oblíquos,https://rcstorestaff.com.br/exercicios_html/103
105,Abdominal Oblíquo Unilateral,Abdome,Oblíquos,https://rcstorestaff.com.br/exercicios_html/105
106,Abdominal Oblíquo,Abdome,Oblíquos,https://rcstorestaff.com.br/exercicios_html/106
110,Abdominal Supra,Abdome,Reto Abdominal (parte superior),https://rcstorestaff.com.br/exercicios_html/110
112,Flexão de Punho,Antebraço,Antebraço,https://rcstorestaff.com.br/exercicios_html/112
113,Rosca Alternada,Bíceps,Bíceps,https://rcstorestaff.com.br/exercicios_html/113
114,Rosca Concentrada,Bíceps,Bíceps,https://rcstorestaff.com.br/exercicios_html/114
115,Rosca Direta com Halter,Bíceps,Bíceps,https://rcstorestaff.com.br/exercicios_html/115
116,Rosca Direta com Corda no Cross Over,Bíceps,Bíceps,https://rcstorestaff.com.br/exercicios_html/116
117,Rosca Direta,Bíceps,Bíceps,https://rcstorestaff.com.br/exercicios_html/117
118,Rosca Scott,Bíceps,Bíceps,https://rcstorestaff.com.br/exercicios_html/118
119,Rosca Unilateral no Cross Over,Bíceps,Bíceps,https://rcstorestaff.com.br/exercicios_html/119
120,Rosca Martelo com Barra,Bíceps,Bíceps,https://rcstorestaff.com.br/exercicios_html/120
121,Rosca Martelo com Halter,Bíceps,Bíceps,https://rcstorestaff.com.br/exercicios_html/121
123,Crucifixo Inverso,Costas,Dorsais,https://rcstorestaff.com.br/exercicios_html/123
127,Pulley Fechado,Costas,Latíssimo do Dorso,https://rcstorestaff.com.br/exercicios_html/127
128,Pulley Frente,Costas,Latíssimo do Dorso,https://rcstorestaff.com.br/exercicios_html/128
130,Pull Over com Halteres,Peito,Peitoral,https://rcstorestaff.com.br/exercicios_html/130
131,Remada na Polia,Costas,Dorsais e Trapézio,https://rcstorestaff.com.br/exercicios_html/131
132,Remada Curvada com Barra,Costas,Dorsais e Trapézio,https://rcstorestaff.com.br/exercicios_html/132
133,Remada Curvada com Halter,Costas,Dorsais e Trapézio,https://rcstorestaff.com.br/exercicios_html/133
135,Remada Unilateral Cross Over,Costas,Dorsais e Trapézio,https://rcstorestaff.com.br/exercicios_html/135
136,Remada Unilateral,Costas,Dorsais e Trapézio,https://rcstorestaff.com.br/exercicios_html/136
137,Remada Curvada no Cross Over,Costas,Dorsais e Trapézio,https://rcstorestaff.com.br/exercicios_html/137
138,Remada Curvada na Barra Guiada,Costas,Dorsais e Trapézio,https://rcstorestaff.com.br/exercicios_html/138
142,Glúteo no Cross Over,Glúteo,Glúteo Máximo,https://rcstorestaff.com.br/exercicios_html/142
145,Desenvolvimento Alternado,Ombro,Deltoide (Anterior e Lateral),https://rcstorestaff.com.br/exercicios_html/145
147,Desenvolvimento com Barra,Ombro,Deltoide (Anterior e Lateral),https://rcstorestaff.com.br/exercicios_html/147
148,Desenvolvimento com Halter,Ombro,Deltoide (Anterior e Lateral),https://rcstorestaff.com.br/exercicios_html/148
151,Desenvolvimento Sentado na Barra Guiada,Ombro,Deltoide (Anterior e Lateral),https://rcstorestaff.com.br/exercicios_html/151
152,Elevação Frontal Alternada,Ombro,Deltoide Anterior,https://rcstorestaff.com.br/exercicios_html/152
153,Elevação Frontal com Halteres,Ombro,Deltoide Anterior,https://rcstorestaff.com.br/exercicios_html/153
154,Elevação Frontal no Cross Over,Ombro,Deltoide Anterior,https://rcstorestaff.com.br/exercicios_html/154
155,Elevação Frontal com Barra,Ombro,Deltoide Anterior,https://rcstorestaff.com.br/exercicios_html/155
156,Elevação Lateral no Cross Over,Ombro,Deltoide Lateral,https://rcstorestaff.com.br/exercicios_html/156
158,Elevação Lateral,Ombro,Deltoide Lateral,https://rcstorestaff.com.br/exercicios_html/158
159,Remada Alta com Barra,Ombro,Deltoide,https://rcstorestaff.com.br/exercicios_html/159
160,Remada Alta com Halter,Ombro,Deltoide,https://rcstorestaff.com.br/exercicios_html/160
161,Remada Alta Cross Over,Ombro,Deltoide,https://rcstorestaff.com.br/exercicios_html/161
163,Crucifixo 30º,Peito,Peitoral (Abertura),https://rcstorestaff.com.br/exercicios_html/163
164,Crucifixo 45º,Peito,Peitoral (Abertura),https://rcstorestaff.com.br/exercicios_html/164
165,Crucifixo Cross Over,Peito,Peitoral (Abertura),https://rcstorestaff.com.br/exercicios_html/165
166,Crucifixo Inverso no Cross Over,Ombro,Deltoide Posterior,https://rcstorestaff.com.br/exercicios_html/166
167,Crucifixo no Voador,Peito,Peitoral (Abertura),https://rcstorestaff.com.br/exercicios_html/167
168,Crucifixo,Peito,Peitoral (Abertura),https://rcstorestaff.com.br/exercicios_html/168
169,Flexão de Braços Fechado,Peito,Peitoral,https://rcstorestaff.com.br/exercicios_html/169
170,Flexão de Braços,Peito,Peitoral,https://rcstorestaff.com.br/exercicios_html/170
171,Supino Reto com Halteres,Peito,Peitoral Médio,https://rcstorestaff.com.br/exercicios_html/171
172,Supino Inclinado com Halteres,Peito,Peitoral Superior,https://rcstorestaff.com.br/exercicios_html/172
173,Supino Reto com Barra,Peito,Peitoral Médio,https://rcstorestaff.com.br/exercicios_html/173
174,Supino Inclinado com Barra,Peito,Peitoral Superior,https://rcstorestaff.com.br/exercicios_html/174
183,Flexão de Quadril Joelho Estendido,Perna,Membros Inferiores,https://rcstorestaff.com.br/exercicios_html/183
184,Flexão de Quadril Joelho Fletido,Perna,Membros Inferiores,https://rcstorestaff.com.br/exercicios_html/184
185,Flexão Plantar Unilateral,Perna,Panturrilha,https://rcstorestaff.com.br/exercicios_html/185
186,Flexão Plantar,Perna,Panturrilha,https://rcstorestaff.com.br/exercicios_html/186
187,Flexor Sentado,Perna,Posterior de Coxa,https://rcstorestaff.com.br/exercicios_html/187
188,Foot Press,Perna,Membros Inferiores,https://rcstorestaff.com.br/exercicios_html/188
190,Leg Press Inclinado,Perna,Quadríceps,https://rcstorestaff.com.br/exercicios_html/190
193,Leg Press,Perna,Quadríceps,https://rcstorestaff.com.br/exercicios_html/193
195,Panturrilha Sentado,Perna,Panturrilha,https://rcstorestaff.com.br/exercicios_html/195
197,Stiff,Perna,Posterior de Coxa,https://rcstorestaff.com.br/exercicios_html/197
198,Abdução no Cross Over,Glúteo,Glúteo Máximo,https://rcstorestaff.com.br/exercicios_html/198
202,Adução no Cross Over,Perna,Adutores,https://rcstorestaff.com.br/exercicios_html/202
205,Afundo na Barra Guiada,Perna,Quadríceps e Glúteos,https://rcstorestaff.com.br/exercicios_html/205
206,Afundo,Perna,Quadríceps e Glúteos,https://rcstorestaff.com.br/exercicios_html/206
208,Agachamento na Barra Guiada,Perna,Quadríceps,https://rcstorestaff.com.br/exercicios_html/208
209,Agachamento em Pé,Perna,Quadríceps,https://rcstorestaff.com.br/exercicios_html/209
210,Banco Abdutor,Glúteo,Glúteo Máximo,https://rcstorestaff.com.br/exercicios_html/210
211,Banco Adutor,Perna,Adutores,https://rcstorestaff.com.br/exercicios_html/211
212,Banco Extensor,Perna,Quadríceps,https://rcstorestaff.com.br/exercicios_html/212
213,Banco Flexor,Perna,Posterior de Coxa,https://rcstorestaff.com.br/exercicios_html/213
217,Tríceps no Cross Over,Tríceps,Tríceps,https://rcstorestaff.com.br/exercicios_html/217
218,Tríceps Unilateral no Cross Over,Tríceps,Tríceps,https://rcstorestaff.com.br/exercicios_html/218
219,Tríceps Francês,Tríceps,Tríceps,https://rcstorestaff.com.br/exercicios_html/219
220,Tríceps Francês no Cross Over,Tríceps,Tríceps,https://rcstorestaff.com.br/exercicios_html/220
221,Tríceps Francês Unilateral,Tríceps,Tríceps,https://rcstorestaff.com.br/exercicios_html/221
