Código,Nome do Exercício,grupo_muscular,musculo_foco,url
100,Abdominal Amplitude Máxima,Abdome,Reto Abdominal,https://rcstorestaff.com.br/exercicios_html/100
101,Abdominal Canivete,Abdome,Reto Abdominal,https://rcstorestaff.com.br/exercicios_html/101
102,Abdominal Infra,Abdome,Infra-abdome,https://rcstorestaff.com.br/exercicios_html/102
103,Abdominal Oblíquo Amplitude Máxima,Abdome,Oblíquos,https://rcstorestaff.com.br/exercicios_html/103
104,Abdominal Oblíquo no Aparelho,Abdome,Oblíquos,https://rcstorestaff.com.br/exercicios_html/104
105,Abdominal Oblíquo Unilateral,Abdome,Oblíquos,https://rcstorestaff.com.br/exercicios_html/105
106,Abdominal Oblíquo,Abdome,Oblíquos,https://rcstorestaff.com.br/exercicios_html/106
107,Abdominal Pés Fixos,Abdome,Reto Abdominal,https://rcstorestaff.com.br/exercicios_html/107
108,Abdominal Supra no Aparelho [1],Abdome,Reto Abdominal (parte superior),https://rcstorestaff.com.br/exercicios_html/108
110,Abdominal Supra,Abdome,Reto Abdominal (parte superior),https://rcstorestaff.com.br/exercicios_html/110
111,Abdominal no Aparelho,Abdome,Reto Abdominal,https://rcstorestaff.com.br/exercicios_html/111
112,Flexão de Punho,Antebraço,Antebraço,https://rcstorestaff.com.br/exercicios_html/112
113,Rosca Alternada,Bíceps,Bíceps,https://rcstorestaff.com.br/exercicios_html/113
114,Rosca Concentrada,Bíceps,Bíceps,https://rcstorestaff.com.br/exercicios_html/114
115,Rosca Direta com Halter,Bíceps,Bíceps,https://rcstorestaff.com.br/exercicios_html/115
116,Rosca Direta com Corda no Cross Over,Bíceps,Bíceps,https://rcstorestaff.com.br/exercicios_html/116
117,Rosca Direta,Bíceps,Bíceps,https://rcstorestaff.com.br/exercicios_html/117
118,Rosca Scott,Bíceps,Bíceps,https://rcstorestaff.com.br/exercicios_html/118
119,Rosca Unilateral no Cross Over,Bíceps,Bíceps,https://rcstorestaff.com.br/exercicios_html/119
120,Rosca Martelo com Barra,Bíceps,Bíceps,https://rcstorestaff.com.br/exercicios_html/120
121,Rosca Martelo com Halter,Bíceps,Bíceps,https://rcstorestaff.com.br/exercicios_html/121
122,Puxada na Barra Fixa,Costas,Latíssimo do Dorso,https://rcstorestaff.com.br/exercicios_html/122
123,Crucifixo Inverso,Costas,Dorsais,https://rcstorestaff.com.br/exercicios_html/123
124,Puxada no Gravitron,Costas,Latíssimo do Dorso,https://rcstorestaff.com.br/exercicios_html/124
125,Lombar Sentado,Costas,Lombar,https://rcstorestaff.com.br/exercicios_html/125
127,Pulley Fechado,Costas,Latíssimo do Dorso,https://rcstorestaff.com.br/exercicios_html/127
128,Pulley Frente,Costas,Latíssimo do Dorso,https://rcstorestaff.com.br/exercicios_html/128
129,Pull Over com Barra,Peito,Peitoral Médio,https://rcstorestaff.com.br/exercicios_html/129
130,Pull Over com Halteres,Peito,Peitoral Médio,https://rcstorestaff.com.br/exercicios_html/130
131,Remada na Polia,Costas,Dorsais e Trapézio,https://rcstorestaff.com.br/exercicios_html/131
132,Remada Curvada com Barra,Costas,Dorsais e Trapézio,https://rcstorestaff.com.br/exercicios_html/132
133,Remada Curvada com Halter,Costas,Dorsais e Trapézio,https://rcstorestaff.com.br/exercicios_html/133
134,Remada no Aparelho,Costas,Dorsais e Trapézio,https://rcstorestaff.com.br/exercicios_html/134
135,Remada Unilateral Cross Over,Costas,Dorsais e Trapézio,https://rcstorestaff.com.br/exercicios_html/135
136,Remada Unilateral,Costas,Dorsais e Trapézio,https://rcstorestaff.com.br/exercicios_html/136
137,Remada Curvada no Cross Over,Costas,Dorsais e Trapézio,https://rcstorestaff.com.br/exercicios_html/137
138,Remada Curvada na Barra Guiada,Costas,Dorsais e Trapézio,https://rcstorestaff.com.br/exercicios_html/138
139,Glúteo 4 Apoios Joelho Estendido,Glúteo,Glúteo Máximo,https://rcstorestaff.com.br/exercicios_html/139
140,Glúteo 4 Apoios Joelho Fletido,Glúteo,Glúteo Máximo,https://rcstorestaff.com.br/exercicios_html/140
141,Glúteo no Aparelho,Glúteo,Glúteo Máximo,https://rcstorestaff.com.br/exercicios_html/141
142,Glúteo no Cross Over,Glúteo,Glúteo Máximo,https://rcstorestaff.com.br/exercicios_html/142
143,Glúteo com Caneleira,Glúteo,Glúteo Máximo,https://rcstorestaff.com.br/exercicios_html/143
144,Glúteo no Apolete,Glúteo,Glúteo Máximo,https://rcstorestaff.com.br/exercicios_html/144
145,Desenvolvimento Alternado,Ombro,Deltoide (Anterior e Lateral),https://rcstorestaff.com.br/exercicios_html/145
146,Desenvolvimento Articulado,Ombro,Deltoide (Anterior e Lateral),https://rcstorestaff.com.br/exercicios_html/146
147,Desenvolvimento com Barra,Ombro,Deltoide (Anterior e Lateral),https://rcstorestaff.com.br/exercicios_html/147
148,Desenvolvimento com Halter,Ombro,Deltoide (Anterior e Lateral),https://rcstorestaff.com.br/exercicios_html/148
149,Desenvolvimento em Pé na Barra Guiada,Ombro,Deltoide (Anterior e Lateral),https://rcstorestaff.com.br/exercicios_html/149
150,Desenvolvimento no Aparelho,Ombro,Deltoide (Anterior e Lateral),https://rcstorestaff.com.br/exercicios_html/150
151,Desenvolvimento Sentado na Barra Guiada,Ombro,Deltoide (Anterior e Lateral),https://rcstorestaff.com.br/exercicios_html/151
152,Elevação Frontal Alternada,Ombro,Deltoide Anterior,https://rcstorestaff.com.br/exercicios_html/152
153,Elevação Frontal com Halteres,Ombro,Deltoide Anterior,https://rcstorestaff.com.br/exercicios_html/153
154,Elevação Frontal no Cross Over,Ombro,Deltoide Anterior,https://rcstorestaff.com.br/exercicios_html/154
155,Elevação Frontal com Barra,Ombro,Deltoide Anterior,https://rcstorestaff.com.br/exercicios_html/155
156,Elevação Lateral no Cross Over,Ombro,Deltoide Lateral,https://rcstorestaff.com.br/exercicios_html/156
157,Elevação Lateral no Aparelho,Ombro,Deltoide Lateral,https://rcstorestaff.com.br/exercicios_html/157
158,Elevação Lateral,Ombro,Deltoide Lateral,https://rcstorestaff.com.br/exercicios_html/158
159,Remada Alta com Barra,Ombro,Deltoide,https://rcstorestaff.com.br/exercicios_html/159
160,Remada Alta com Halter,Ombro,Deltoide,https://rcstorestaff.com.br/exercicios_html/160
161,Remada Alta Cross Over,Ombro,Deltoide,https://rcstorestaff.com.br/exercicios_html/161
162,Remada Alta na Barra Guiada,Ombro,Deltoide,https://rcstorestaff.com.br/exercicios_html/162
163,Crucifixo 30º,Peito,Peitoral (Abertura),https://rcstorestaff.com.br/exercicios_html/163
164,Crucifixo 45º,Peito,Peitoral (Abertura),https://rcstorestaff.com.br/exercicios_html/164
165,Crucifixo Cross Over,Peito,Peitoral (Abertura),https://rcstorestaff.com.br/exercicios_html/165
166,Crucifixo Inverso no Cross Over,Ombro,Deltoide Posterior,https://rcstorestaff.com.br/exercicios_html/166
167,Crucifixo no Voador,Peito,Peitoral (Abertura),https://rcstorestaff.com.br/exercicios_html/167
168,Crucifixo,Peito,Peitoral (Abertura),https://rcstorestaff.com.br/exercicios_html/168
169,Flexão de Braços Fechado,Peito,Peitoral Médio,https://rcstorestaff.com.br/exercicios_html/169
170,Flexão de Braços,Peito,Peitoral Médio,https://rcstorestaff.com.br/exercicios_html/170
171,Supino Reto com Halteres,Peito,Peitoral Médio,https://rcstorestaff.com.br/exercicios_html/171
172,Supino Inclinado com Halteres,Peito,Peitoral Superior,https://rcstorestaff.com.br/exercicios_html/172
173,Supino Reto com Barra,Peito,Peitoral Médio,https://rcstorestaff.com.br/exercicios_html/173
174,Supino Inclinado com Barra,Peito,Peitoral Superior,https://rcstorestaff.com.br/exercicios_html/174
175,Supino Articulado,Peito,Peitoral Médio,https://rcstorestaff.com.br/exercicios_html/175
176,Supino Reto no Aparelho,Peito,Peitoral Médio,https://rcstorestaff.com.br/exercicios_html/176
177,Supino Declinado,Peito,Peitoral Inferior,https://rcstorestaff.com.br/exercicios_html/177
